word,occurence
titulars,8.0
sacrificis.,6.0
Ahir,26.0
vam,84.0
recuperar,24.0
d'aquest,23.0
llegat,8.0
@…,11.0
AirBNB,2.0
prenent,5.0
pèl,3.0
"regula,",2.0
combatre.,2.0
contundència,2.0
cont…,4.0
Volem,42.0
"veïns,",4.0
Barcelona?,13.0
Primer,18.0
Ciutat,42.0
"Vella,",5.0
Antoni.,5.0
analitzo,4.0
@diariARA,26.0
https://t.co/pM6Edi…,4.0
consulta,34.0
l'alberg,24.0
Vila,51.0
Olímpica.,7.0
faran,14.0
"igualment,",3.0
serem,19.0
#pleBCN,81.0
"matí,",8.0
rere,3.0
derrota,5.0
Rajoy.,5.0
Al,50.0
local,8.0
"d'estibadors,",3.0
compartim,7.0
orgull,4.0
Barcelona.,85.0
https://t.co/5iX8zYYS8B,3.0
Cap,12.0
Estremera,9.0
visitar,10.0
l’Oriol,14.0
@Junqueras.,5.0
Amb,91.0
moltes,22.0
ganes,22.0
veure’l,1.0
després,115.0
"mesos,",2.0
encara,107.0
separi,1.0
u…,15.0
tornen,3.0
declarar,19.0
profundament,3.0
demòcrates,4.0
plenes,4.0
bondat.,1.0
Ni,36.0
allunyats,3.0
les…,11.0
Molt,65.0
contents,1.0
l’acord,6.0
impulsors,2.0
iniciativa,7.0
l’habitatge,7.0
social.,14.0
destinarà,2.0
30%,9.0
noves,12.0
cons…,1.0
reclamat,9.0
Vella,12.0
Conjunt,9.0
Protegit.,5.0
forma,28.0
d'assegurar,5.0
protecció,8.0
del…,13.0
L9-L10,11.0
connecta,8.0
14,22.0
barris,14.0
"ciutat,",24.0
redueix,10.0
tràfic,9.0
rodat,8.0
massa,33.0
temps,46.0
avança.,8.0
cre…,9.0
negociar,27.0
pressupost,18.0
2018,16.0
aconseguir,23.0
corregir,9.0
tarifació,8.0
social,29.0
municipal.,14.0
sentit…,8.0
Hi,65.0
companys,31.0
preso,9.0
complir,27.0
promeses.,8.0
https://t.co/LTlJ1Svgsz,7.0
confon,7.0
transparent,7.0
fer-se,12.0
invisible;,6.0
s'investigui,6.0
l'urbanisme,6.0
PSC,86.0
ICV,17.0
https://t.co/w5Y0…,6.0
Demà,37.0
exigirem,11.0
Comissió,25.0
d'Investigació,14.0
d'urbanisme,13.0
inclogui,9.0
darrer,15.0
mandat,38.0
PSC-ICV.,5.0
s'entendria,5.0
motiu,13.0
8,17.0
març,6.0
cedeixo,3.0
l'espai,11.0
meu,49.0
bloc,33.0
personal,18.0
publico,3.0
l’article,5.0
regidores,3.0
@MontseBenedi,8.0
@T_Capd…,3.0
democràtic,17.0
mon,7.0
desentendre's,1.0
tancada,5.0
"urnes.

https://t.co/o65f5EHV6E",1.0
Tens,15.0
"raó,",9.0
@ToniVall.,1.0
sols,13.0
"patrimoni,",1.0
mantenir,13.0
l’essència,1.0
"Pitarra,",3.0
sol·licitat,1.0
d…,44.0
alberg,6.0
440,13.0
places,19.0
barri,31.0
9.000,6.0
veïns?,6.0
decideixi,9.0
vol.,7.0
compleixi,13.0
la…,35.0
L'atenció,7.0
domiciliària,7.0
pública,25.0
continuarà,7.0
mans,18.0
Florentino,11.0
Pérez.,7.0
Incomplir,6.0
"frustració,…",6.0
9,35.0
mesos,83.0
segueixen,13.0
adjudicant,6.0
